CTI3   

DESCRIPTOR "Argyll Calibration Target chart information 3"
ORIGINATOR "Argyll dispread"
CREATED "Fri Mar 31 10:03:30 2017"
DEVICE_CLASS "DISPLAY"
SINGLE_DIM_STEPS "256"
COLOR_REP "RGB_XYZ"
TARGET_INSTRUMENT "GretagMacbeth i1 Pro"
DISPLAY_TYPE_REFRESH "YES"
INSTRUMENT_TYPE_SPECTRAL "YES"
SPECTRAL_BANDS "109"
SPECTRAL_START_NM "370.000000"
SPECTRAL_END_NM "730.000000"
LUMINANCE_XYZ_CDM2 "55.525847 59.049638 62.031731"
NORMALIZED_TO_Y_100 "YES"

NUMBER_OF_FIELDS 116
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z SPEC_370 SPEC_373 SPEC_377 SPEC_380 SPEC_383 SPEC_387 SPEC_390 SPEC_393 SPEC_397 SPEC_400 SPEC_403 SPEC_407 SPEC_410 SPEC_413 SPEC_417 SPEC_420 SPEC_423 SPEC_427 SPEC_430 SPEC_433 SPEC_437 SPEC_440 SPEC_443 SPEC_447 SPEC_450 SPEC_453 SPEC_457 SPEC_460 SPEC_463 SPEC_467 SPEC_470 SPEC_473 SPEC_477 SPEC_480 SPEC_483 SPEC_487 SPEC_490 SPEC_493 SPEC_497 SPEC_500 SPEC_503 SPEC_507 SPEC_510 SPEC_513 SPEC_517 SPEC_520 SPEC_523 SPEC_527 SPEC_530 SPEC_533 SPEC_537 SPEC_540 SPEC_543 SPEC_547 SPEC_550 SPEC_553 SPEC_557 SPEC_560 SPEC_563 SPEC_567 SPEC_570 SPEC_573 SPEC_577 SPEC_580 SPEC_583 SPEC_587 SPEC_590 SPEC_593 SPEC_597 SPEC_600 SPEC_603 SPEC_607 SPEC_610 SPEC_613 SPEC_617 SPEC_620 SPEC_623 SPEC_627 SPEC_630 SPEC_633 SPEC_637 SPEC_640 SPEC_643 SPEC_647 SPEC_650 SPEC_653 SPEC_657 SPEC_660 SPEC_663 SPEC_667 SPEC_670 SPEC_673 SPEC_677 SPEC_680 SPEC_683 SPEC_687 SPEC_690 SPEC_693 SPEC_697 SPEC_700 SPEC_703 SPEC_707 SPEC_710 SPEC_713 SPEC_717 SPEC_720 SPEC_723 SPEC_727 SPEC_730 
END_DATA_FORMAT

NUMBER_OF_SETS 787
BEGIN_DATA
1 100.0000 100.0000 100.0000 94.03249 100.0000 105.0501 0.0170126 0.00932042 0.00587816 0.00451517 0.00454405 0.00524555 0.00536412 0.00601748 0.00691206 0.00650883 0.00609078 0.00776729 0.0111101 0.0193616 0.0375815 0.0745087 0.147421 0.282133 0.524973 0.944022 1.592042 2.410060 3.116872 3.374681 3.128219 2.585014 2.006392 1.531466 1.173530 0.896357 0.689325 0.555733 0.486524 0.464377 0.476899 0.517062 0.586440 0.687345 0.810425 0.947081 1.092997 1.231775 1.355006 1.473092 1.576658 1.654997 1.716663 1.763759 1.798563 1.830356 1.847766 1.836043 1.805276 1.757086 1.687459 1.606732 1.527473 1.443136 1.347680 1.254356 1.175744 1.112015 1.065144 1.043803 1.058345 1.100010 1.149597 1.200460 1.255425 1.305386 1.328510 1.322856 1.306140 1.288919 1.267819 1.241177 1.218610 1.201109 1.182360 1.157441 1.127565 1.088400 1.038492 0.987983 0.945890 0.902803 0.851036 0.797628 0.747525 0.698041 0.646575 0.595580 0.549340 0.509854 0.473910 0.434835 0.395279 0.360878 0.331635 0.308146 0.286041 0.260756 0.235318 0.211622 0.187978 0.169863 0.155628 0.139938 0.126886 
2 0.00000 24.31373 0.00000 1.485159 2.566887 0.616987 0.00258611 0.00152654 0.000520496 -0.000456925 0.000263196 0.000932325 0.000473354 0.000453000 0.000734581 0.00101893 0.00107351 0.000932647 0.0000803351 -0.0000326425 0.000465795 0.000767982 0.00133005 0.00201056 0.00311864 0.00522401 0.00780089 0.0104964 0.0129731 0.0134125 0.0122352 0.0101052 0.00760881 0.00574366 0.00457811 0.00393003 0.00363059 0.00374442 0.00449814 0.00598931 0.00745453 0.00933291 0.0114855 0.0146284 0.0185940 0.0230201 0.0279518 0.0323351 0.0363769 0.0406734 0.0453162 0.0491985 0.0526130 0.0550003 0.0566804 0.0582494 0.0591624 0.0588754 0.0580342 0.0571645 0.0550155 0.0522016 0.0497889 0.0477997 0.0448158 0.0415906 0.0387973 0.0358424 0.0335581 0.0314925 0.0293685 0.0269279 0.0245690 0.0220029 0.0198339 0.0173974 0.0144941 0.0120573 0.0101597 0.00871290 0.00729833 0.00565572 0.00472634 0.00451819 0.00445200 0.00448142 0.00374477 0.00327114 0.00356153 0.00348624 0.00307895 0.00295204 0.00283029 0.00297881 0.00281390 0.00214152 0.00164543 0.00234142 0.00244835 0.00196347 0.00169145 0.00165705 0.000969852 0.00101194 0.000473640 0.000857878 0.00174133 0.00261846 0.00216888 0.00159053 0.00223883 0.00189761 0.00317539 0.00290796 0.00174695 
3 0.00000 25.49020 0.00000 1.671210 2.937623 0.639779 0.00261614 0.00186914 0.000877109 0.000250318 0.000444100 0.000793495 0.000638894 0.000758917 0.00113313 0.000632078 0.00101586 0.000873789 0.000827460 0.000345694 0.000668232 0.000902476 0.00137309 0.00189015 0.00302916 0.00472381 0.00760481 0.0104558 0.0127907 0.0133679 0.0122364 0.00993884 0.00744590 0.00558935 0.00410420 0.00347641 0.00350975 0.00393964 0.00523144 0.00684814 0.00852358 0.0107090 0.0133493 0.0168902 0.0210922 0.0261714 0.0318161 0.0367137 0.0416432 0.0473981 0.0526878 0.0565146 0.0600263 0.0629303 0.0649764 0.0664507 0.0675631 0.0678162 0.0671273 0.0658074 0.0633609 0.0604701 0.0575590 0.0546422 0.0514979 0.0479479 0.0444388 0.0414545 0.0389417 0.0359959 0.0330387 0.0308101 0.0284899 0.0252838 0.0222494 0.0195386 0.0162187 0.0132980 0.0110554 0.00918709 0.00749199 0.00577311 0.00475649 0.00435698 0.00432154 0.00393607 0.00287093 0.00272261 0.00326836 0.00301659 0.00296581 0.00249516 0.00230734 0.00288858 0.00262847 0.00212110 0.00196806 0.00177668 0.00167638 0.00206832 0.00216514 0.00207888 0.00170418 0.00142005 0.00150638 0.00101934 0.00216232 0.00216152 0.000971221 0.00157315 0.00220777 0.00222008 0.00388749 0.00417426 0.00262855 
4 43.52941 0.00000 0.00000 5.050206 2.671922 0.600532 0.00103143 0.00119462 0.000956385 0.000339705 0.000759413 0.00107201 0.00110349 0.00124542 0.00115492 0.000877463 0.000780693 0.000841403 0.000544203 0.000179811 0.00117849 0.00142203 0.00139322 0.00273574 0.00450982 0.00707774 0.0108647 0.0156231 0.0193634 0.0196374 0.0171658 0.0131456 0.00985562 0.00731287 0.00575688 0.00464044 0.00355263 0.00280476 0.00253175 0.00259314 0.00269522 0.00275732 0.00292525 0.00344764 0.00344703 0.00374425 0.00437488 0.00427479 0.00411634 0.00444406 0.00490440 0.00492257 0.00515161 0.00556635 0.00557918 0.00526227 0.00497009 0.00468544 0.00466637 0.00459943 0.00408733 0.00371171 0.00346685 0.00357633 0.00351433 0.00360612 0.00447338 0.00682591 0.0115022 0.0191492 0.0300791 0.0444942 0.0616026 0.0793356 0.0975963 0.115531 0.129517 0.139236 0.147080 0.153041 0.156384 0.156769 0.156488 0.156714 0.155656 0.152961 0.149424 0.144445 0.137776 0.130584 0.124461 0.118408 0.111418 0.104345 0.0975229 0.0907624 0.0833867 0.0762332 0.0701715 0.0648749 0.0600136 0.0543927 0.0485499 0.0439300 0.0397460 0.0359472 0.0332910 0.0310105 0.0273147 0.0241754 0.0209527 0.0177377 0.0178745 0.0167750 0.0139420 
5 72.94118 0.00000 0.00000 17.05549 8.778575 1.026015 0.00113988 0.00160922 0.000782740 0.000243650 0.000991167 0.00112425 0.000327903 0.000289456 0.000809919 0.00122439 0.00106182 0.00124498 0.00111347 0.000674000 0.00127380 0.00241117 0.00313953 0.00485987 0.00774507 0.0125493 0.0198385 0.0283078 0.0343240 0.0344447 0.0294461 0.0220773 0.0156492 0.0111287 0.00836405 0.00675654 0.00562179 0.00474086 0.00449788 0.00445566 0.00420429 0.00422771 0.00431641 0.00472393 0.00537162 0.00633578 0.00704269 0.00662808 0.00651816 0.00715493 0.00773765 0.00811374 0.00859593 0.00849128 0.00842886 0.00829518 0.00761906 0.00721441 0.00669040 0.00610184 0.00539767 0.00495492 0.00461336 0.00467118 0.00519406 0.00701821 0.0108894 0.0188420 0.0343414 0.0606869 0.0989352 0.149652 0.208790 0.270659 0.335080 0.397160 0.446441 0.480633 0.506610 0.526835 0.538431 0.541850 0.541728 0.540685 0.536773 0.528642 0.516350 0.498100 0.474765 0.450844 0.430044 0.409624 0.385311 0.359237 0.334648 0.311904 0.287918 0.264125 0.243252 0.224716 0.206439 0.187545 0.169004 0.152731 0.138689 0.126503 0.116020 0.104405 0.0923970 0.0811650 0.0719937 0.0646053 0.0587779 0.0529400 0.0461399 
6 77.25490 0.00000 0.00000 19.51547 10.03585 1.138103 0.00306380 0.00225177 0.00174097 0.000633937 0.000355822 0.00102678 0.00118264 0.000620017 0.000786394 0.00134057 0.00132692 0.00110969 0.00103935 0.00111884 0.00166027 0.00257523 0.00387335 0.00565710 0.00875907 0.0142424 0.0220934 0.0310724 0.0376630 0.0376147 0.0321232 0.0242656 0.0172330 0.0122541 0.00930216 0.00775654 0.00652783 0.00553309 0.00537354 0.00500268 0.00503445 0.00545287 0.00536635 0.00566298 0.00615672 0.00667209 0.00720732 0.00707469 0.00697920 0.00759398 0.00848122 0.00887082 0.00960025 0.00988208 0.00954950 0.00923404 0.00863846 0.00787023 0.00685389 0.00643135 0.00581324 0.00527008 0.00510433 0.00522532 0.00594616 0.00758887 0.0119847 0.0210634 0.0390543 0.0692105 0.113374 0.171531 0.238630 0.309918 0.384111 0.454700 0.510760 0.550361 0.580119 0.603006 0.616760 0.620878 0.620862 0.619436 0.614381 0.604575 0.590228 0.569550 0.543068 0.516652 0.493377 0.469230 0.440939 0.411743 0.384072 0.357239 0.329443 0.302843 0.278902 0.257579 0.236708 0.215353 0.193774 0.174828 0.159078 0.145365 0.133144 0.120099 0.106712 0.0946813 0.0844692 0.0752556 0.0693459 0.0631254 0.0545186 
