CTI3   

DESCRIPTOR "Argyll Calibration Target chart information 3"
ORIGINATOR "Argyll dispread"
CREATED "Fri Mar 31 11:54:54 2017"
DEVICE_CLASS "DISPLAY"
SINGLE_DIM_STEPS "256"
COLOR_REP "RGB_XYZ"
TARGET_INSTRUMENT "GretagMacbeth i1 Pro"
DISPLAY_TYPE_REFRESH "YES"
INSTRUMENT_TYPE_SPECTRAL "YES"
SPECTRAL_BANDS "109"
SPECTRAL_START_NM "370.000000"
SPECTRAL_END_NM "730.000000"
LUMINANCE_XYZ_CDM2 "54.942909 58.517587 61.011086"
NORMALIZED_TO_Y_100 "YES"

NUMBER_OF_FIELDS 116
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z SPEC_370 SPEC_373 SPEC_377 SPEC_380 SPEC_383 SPEC_387 SPEC_390 SPEC_393 SPEC_397 SPEC_400 SPEC_403 SPEC_407 SPEC_410 SPEC_413 SPEC_417 SPEC_420 SPEC_423 SPEC_427 SPEC_430 SPEC_433 SPEC_437 SPEC_440 SPEC_443 SPEC_447 SPEC_450 SPEC_453 SPEC_457 SPEC_460 SPEC_463 SPEC_467 SPEC_470 SPEC_473 SPEC_477 SPEC_480 SPEC_483 SPEC_487 SPEC_490 SPEC_493 SPEC_497 SPEC_500 SPEC_503 SPEC_507 SPEC_510 SPEC_513 SPEC_517 SPEC_520 SPEC_523 SPEC_527 SPEC_530 SPEC_533 SPEC_537 SPEC_540 SPEC_543 SPEC_547 SPEC_550 SPEC_553 SPEC_557 SPEC_560 SPEC_563 SPEC_567 SPEC_570 SPEC_573 SPEC_577 SPEC_580 SPEC_583 SPEC_587 SPEC_590 SPEC_593 SPEC_597 SPEC_600 SPEC_603 SPEC_607 SPEC_610 SPEC_613 SPEC_617 SPEC_620 SPEC_623 SPEC_627 SPEC_630 SPEC_633 SPEC_637 SPEC_640 SPEC_643 SPEC_647 SPEC_650 SPEC_653 SPEC_657 SPEC_660 SPEC_663 SPEC_667 SPEC_670 SPEC_673 SPEC_677 SPEC_680 SPEC_683 SPEC_687 SPEC_690 SPEC_693 SPEC_697 SPEC_700 SPEC_703 SPEC_707 SPEC_710 SPEC_713 SPEC_717 SPEC_720 SPEC_723 SPEC_727 SPEC_730 
END_DATA_FORMAT

NUMBER_OF_SETS 787
BEGIN_DATA
1 100.0000 100.0000 100.0000 93.89128 100.0000 104.2611 0.0137918 0.00890914 0.00674953 0.00706065 0.00676667 0.00501637 0.00401694 0.00418232 0.00371031 0.00449022 0.00596002 0.00759425 0.0103974 0.0195423 0.0374288 0.0735817 0.145894 0.280673 0.522348 0.941542 1.590287 2.407550 3.104441 3.347591 3.093694 2.553580 1.983195 1.513921 1.158646 0.885218 0.681879 0.550389 0.481829 0.460403 0.473681 0.513746 0.582085 0.683057 0.806493 0.943954 1.092254 1.233146 1.356686 1.473682 1.577639 1.658180 1.720900 1.767315 1.798996 1.827990 1.846422 1.837458 1.806591 1.759550 1.689742 1.610015 1.530166 1.445705 1.349753 1.254697 1.175332 1.111512 1.064628 1.042544 1.055390 1.096465 1.145965 1.197970 1.253922 1.305084 1.329167 1.323021 1.307201 1.290372 1.269294 1.243810 1.219046 1.198906 1.180305 1.156034 1.126316 1.088192 1.040152 0.990837 0.946729 0.904437 0.854921 0.800023 0.748817 0.701602 0.651108 0.598596 0.551656 0.510833 0.473711 0.436499 0.398530 0.361934 0.331619 0.308693 0.285079 0.260547 0.235761 0.211565 0.188661 0.169966 0.153829 0.138839 0.127373 
2 0.00000 24.31373 0.00000 1.447285 2.527864 0.593220 -0.000912202 0.0000592887 -0.000118553 -0.000286154 -0.000311189 -0.000273999 -0.000274021 0.0000386881 0.000383393 0.000531632 -0.0000165405 -0.000417044 -0.000524179 -0.0000150209 0.000375868 0.000272910 -0.0000541537 0.00128789 0.00246039 0.00418967 0.00700017 0.0103382 0.0129090 0.0132235 0.0117515 0.00977373 0.00740665 0.00542672 0.00420169 0.00374044 0.00385881 0.00406183 0.00457543 0.00583843 0.00755545 0.00951963 0.0117736 0.0146375 0.0182559 0.0227307 0.0272641 0.0319074 0.0364231 0.0408781 0.0452442 0.0489961 0.0522141 0.0545918 0.0561449 0.0573491 0.0581570 0.0582019 0.0570961 0.0561081 0.0541237 0.0516752 0.0494597 0.0469815 0.0443883 0.0412830 0.0382257 0.0352912 0.0329185 0.0306983 0.0280293 0.0258986 0.0236238 0.0213626 0.0193391 0.0174959 0.0147905 0.0118299 0.00983656 0.00799498 0.00620066 0.00513202 0.00476642 0.00441587 0.00397400 0.00418044 0.00374493 0.00283797 0.00261091 0.00307857 0.00224897 0.000990928 0.00171942 0.00267764 0.00170049 0.00116960 0.00181756 0.00142272 0.00177638 0.00308757 0.00236138 0.00275475 0.00323631 0.00209448 0.00163514 0.00149402 0.00132259 0.00183077 0.00117878 0.00105006 0.000437614 -0.000884866 -0.000288730 0.00185831 0.00253597 
3 0.00000 25.49020 0.00000 1.633306 2.891728 0.617245 -0.00231062 -0.00143953 -0.00105311 -0.000921982 -0.000742177 -0.00101313 -0.000467848 -0.000105045 -0.0000236050 0.000278781 0.000350079 -0.000398761 -0.000602919 8.75716e-06 0.000100057 -0.000323989 0.000276601 0.00142325 0.00228519 0.00408151 0.00682902 0.0101967 0.0128635 0.0131838 0.0117474 0.00935657 0.00710858 0.00547847 0.00440659 0.00406052 0.00407485 0.00423727 0.00484229 0.00645147 0.00849838 0.0107259 0.0132525 0.0163978 0.0204245 0.0252015 0.0305520 0.0361273 0.0414651 0.0468841 0.0520089 0.0562564 0.0596613 0.0625307 0.0642916 0.0658755 0.0670656 0.0668899 0.0657900 0.0645411 0.0624780 0.0595982 0.0568771 0.0539863 0.0508518 0.0474455 0.0439649 0.0406630 0.0375838 0.0347858 0.0321896 0.0301365 0.0275746 0.0243831 0.0217923 0.0195133 0.0165044 0.0131729 0.0107383 0.00902011 0.00694777 0.00524558 0.00458979 0.00410119 0.00365748 0.00350014 0.00304611 0.00254515 0.00277606 0.00220014 0.00141379 0.00156049 0.00214351 0.00244521 0.00155343 0.00148334 0.00230607 0.00155026 0.00185357 0.00299403 0.00243654 0.00207243 0.00243141 0.00146612 0.00120358 0.000603432 0.000435623 0.00134810 0.00133026 0.000803764 0.000255535 -0.000785405 -0.00169912 -0.000248106 0.00109611 
4 43.52941 0.00000 0.00000 5.016709 2.644089 0.562599 0.000451432 -0.000580001 -0.000171597 0.000138013 -0.0000469660 -0.0000832553 0.000352780 0.000425533 -0.000268059 -0.000563323 -0.000656137 -0.000353494 -0.000307746 0.000375391 0.000793238 0.000515490 0.000886739 0.00220942 0.00351638 0.00624364 0.0101586 0.0148487 0.0185716 0.0191675 0.0163999 0.0127094 0.00957607 0.00716654 0.00524592 0.00422224 0.00348709 0.00273273 0.00210556 0.00226451 0.00229172 0.00237485 0.00261345 0.00268930 0.00288415 0.00333573 0.00345141 0.00382944 0.00414248 0.00438453 0.00479089 0.00506628 0.00525296 0.00533191 0.00509586 0.00490094 0.00479289 0.00452966 0.00394620 0.00367959 0.00348184 0.00329385 0.00302505 0.00306714 0.00353150 0.00387894 0.00451714 0.00676742 0.0109464 0.0181823 0.0294044 0.0440305 0.0606801 0.0784921 0.0973169 0.115542 0.129308 0.138716 0.146569 0.152326 0.155729 0.156578 0.156683 0.155968 0.154671 0.153066 0.149135 0.143461 0.137038 0.130293 0.124024 0.117612 0.110800 0.103693 0.0967531 0.0903803 0.0830846 0.0756518 0.0693995 0.0650363 0.0597230 0.0546756 0.0493090 0.0437727 0.0387082 0.0356454 0.0334257 0.0300964 0.0257678 0.0230231 0.0213206 0.0192884 0.0168384 0.0161410 0.0137617 
5 72.94118 0.00000 0.00000 17.01471 8.748463 1.002190 -0.00212256 -0.000706392 0.000260419 0.000270254 -0.000167158 -0.000266086 0.000236344 0.000312007 -0.000147142 -0.000350853 -0.000532840 -0.000359365 -0.000366356 0.000361342 0.000723185 0.00101887 0.00198925 0.00453466 0.00757002 0.0124732 0.0195154 0.0278391 0.0339131 0.0339379 0.0281719 0.0214028 0.0153482 0.0107599 0.00823188 0.00691718 0.00592121 0.00508142 0.00450592 0.00441936 0.00426821 0.00446487 0.00488893 0.00512554 0.00576380 0.00603233 0.00588313 0.00637224 0.00685938 0.00704817 0.00755043 0.00800862 0.00843879 0.00865766 0.00838398 0.00801052 0.00751383 0.00702746 0.00616889 0.00554335 0.00505354 0.00456470 0.00435432 0.00457540 0.00527480 0.00680382 0.0102676 0.0183639 0.0333949 0.0591622 0.0976970 0.148681 0.207441 0.269501 0.334005 0.396749 0.446414 0.480695 0.506754 0.527208 0.538618 0.541439 0.541084 0.539772 0.535152 0.526339 0.514597 0.497306 0.474923 0.450888 0.429388 0.408912 0.385019 0.359226 0.334187 0.311036 0.287316 0.263507 0.241868 0.223466 0.205908 0.187869 0.169003 0.151883 0.138014 0.126526 0.115370 0.103871 0.0907998 0.0804703 0.0728076 0.0649349 0.0563158 0.0516197 0.0470874 
6 77.25490 0.00000 0.00000 19.45539 9.993521 1.097330 -0.00182182 -0.000733245 -0.000144669 0.000122625 0.000250598 0.0000353312 -0.000154805 -0.000207402 -0.0000299577 -0.000127392 -0.0000529576 -0.000196876 -0.000649841 0.000361965 0.00114893 0.00163841 0.00267550 0.00538603 0.00832665 0.0136226 0.0214550 0.0304755 0.0370444 0.0368609 0.0309437 0.0233651 0.0165310 0.0118780 0.00914057 0.00760888 0.00635154 0.00534565 0.00489246 0.00483128 0.00456920 0.00477237 0.00518982 0.00538295 0.00560681 0.00620642 0.00664130 0.00698493 0.00737120 0.00773981 0.00834130 0.00880186 0.00930866 0.00944685 0.00904491 0.00882200 0.00860900 0.00802131 0.00676955 0.00592745 0.00522063 0.00478194 0.00460460 0.00499490 0.00585904 0.00744582 0.0111417 0.0204385 0.0384558 0.0677058 0.111658 0.170210 0.237204 0.308406 0.382246 0.453850 0.510891 0.550322 0.580313 0.603279 0.616144 0.619519 0.619023 0.617495 0.612550 0.602733 0.588536 0.568861 0.543134 0.515851 0.491651 0.467743 0.440348 0.410770 0.382364 0.355899 0.329399 0.301368 0.276589 0.255893 0.235313 0.214780 0.193545 0.173703 0.156779 0.143837 0.132362 0.118829 0.104585 0.0924257 0.0825679 0.0735675 0.0652025 0.0595428 0.0529894 
