CTI3   

DESCRIPTOR "Argyll Calibration Target chart information 3"
ORIGINATOR "Argyll dispread"
CREATED "Thu Mar 30 22:39:15 2017"
DEVICE_CLASS "DISPLAY"
SINGLE_DIM_STEPS "256"
COLOR_REP "RGB_XYZ"
TARGET_INSTRUMENT "GretagMacbeth i1 Pro"
DISPLAY_TYPE_REFRESH "YES"
INSTRUMENT_TYPE_SPECTRAL "YES"
SPECTRAL_BANDS "109"
SPECTRAL_START_NM "370.000000"
SPECTRAL_END_NM "730.000000"
LUMINANCE_XYZ_CDM2 "54.803419 57.807294 61.829578"
NORMALIZED_TO_Y_100 "YES"

NUMBER_OF_FIELDS 116
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z SPEC_370 SPEC_373 SPEC_377 SPEC_380 SPEC_383 SPEC_387 SPEC_390 SPEC_393 SPEC_397 SPEC_400 SPEC_403 SPEC_407 SPEC_410 SPEC_413 SPEC_417 SPEC_420 SPEC_423 SPEC_427 SPEC_430 SPEC_433 SPEC_437 SPEC_440 SPEC_443 SPEC_447 SPEC_450 SPEC_453 SPEC_457 SPEC_460 SPEC_463 SPEC_467 SPEC_470 SPEC_473 SPEC_477 SPEC_480 SPEC_483 SPEC_487 SPEC_490 SPEC_493 SPEC_497 SPEC_500 SPEC_503 SPEC_507 SPEC_510 SPEC_513 SPEC_517 SPEC_520 SPEC_523 SPEC_527 SPEC_530 SPEC_533 SPEC_537 SPEC_540 SPEC_543 SPEC_547 SPEC_550 SPEC_553 SPEC_557 SPEC_560 SPEC_563 SPEC_567 SPEC_570 SPEC_573 SPEC_577 SPEC_580 SPEC_583 SPEC_587 SPEC_590 SPEC_593 SPEC_597 SPEC_600 SPEC_603 SPEC_607 SPEC_610 SPEC_613 SPEC_617 SPEC_620 SPEC_623 SPEC_627 SPEC_630 SPEC_633 SPEC_637 SPEC_640 SPEC_643 SPEC_647 SPEC_650 SPEC_653 SPEC_657 SPEC_660 SPEC_663 SPEC_667 SPEC_670 SPEC_673 SPEC_677 SPEC_680 SPEC_683 SPEC_687 SPEC_690 SPEC_693 SPEC_697 SPEC_700 SPEC_703 SPEC_707 SPEC_710 SPEC_713 SPEC_717 SPEC_720 SPEC_723 SPEC_727 SPEC_730 
END_DATA_FORMAT

NUMBER_OF_SETS 787
BEGIN_DATA
1 100.0000 100.0000 100.0000 94.80364 100.0000 106.9581 0.00931058 0.00545275 0.00476793 0.00569019 0.00535475 0.00470885 0.00407803 0.00296647 0.00438199 0.00593558 0.00720876 0.00837182 0.0121340 0.0204849 0.0381927 0.0755340 0.148350 0.282616 0.521139 0.930711 1.567109 2.383914 3.110793 3.407573 3.201609 2.677287 2.093434 1.601576 1.229687 0.943104 0.727776 0.587892 0.514022 0.489450 0.501015 0.540826 0.608361 0.706650 0.827237 0.961035 1.104277 1.238493 1.356248 1.467769 1.563825 1.639664 1.700945 1.747211 1.780354 1.809096 1.824808 1.814480 1.785481 1.738673 1.670453 1.591462 1.515153 1.434505 1.342046 1.251261 1.176909 1.114825 1.068130 1.051251 1.069110 1.112235 1.163577 1.216407 1.271157 1.320207 1.344693 1.339487 1.322804 1.305899 1.285342 1.259308 1.234684 1.214676 1.193599 1.169028 1.140319 1.101336 1.050822 1.000920 0.957338 0.912743 0.863355 0.811023 0.759700 0.707701 0.656455 0.607480 0.561125 0.519176 0.479450 0.440798 0.403253 0.367285 0.338488 0.312668 0.288208 0.264621 0.238524 0.213920 0.193895 0.176361 0.159548 0.143664 0.130202 
2 0.00000 24.31373 0.00000 1.501855 2.627875 0.606636 0.000696464 0.00113249 0.000570858 0.000611412 0.000803282 0.000434035 0.000113615 -0.000147987 0.000273724 0.000415266 -0.0000204842 -0.0000689716 -0.000239741 -0.000321853 -0.000362812 0.000453897 0.00104054 0.00164410 0.00267807 0.00410151 0.00678679 0.0100873 0.0130179 0.0137680 0.0123411 0.00980921 0.00748395 0.00564937 0.00439256 0.00348499 0.00312788 0.00361915 0.00490669 0.00626037 0.00778136 0.00989955 0.0124725 0.0154707 0.0191483 0.0234166 0.0283958 0.0334654 0.0381756 0.0426216 0.0465452 0.0503947 0.0536497 0.0560989 0.0579648 0.0595769 0.0602439 0.0602756 0.0597119 0.0585120 0.0562630 0.0536484 0.0514116 0.0488256 0.0459663 0.0426409 0.0400717 0.0373476 0.0345288 0.0320654 0.0303723 0.0281581 0.0257352 0.0232023 0.0204053 0.0172467 0.0149077 0.0118752 0.00960096 0.00777785 0.00606726 0.00536815 0.00434912 0.00353651 0.00350854 0.00329516 0.00304626 0.00339205 0.00282398 0.00227939 0.00221535 0.00210723 0.00229285 0.00260290 0.00277358 0.00186634 0.000752888 0.000366038 0.00120634 0.00176382 0.00241742 0.00178516 0.000917231 0.000651943 0.00102300 0.00104382 0.00134501 0.00170872 0.00125548 0.00156672 0.00256862 0.00177682 0.00183470 0.00287995 0.00152381 
3 0.00000 25.49020 0.00000 1.659263 2.921862 0.640969 0.000847784 0.000928648 -0.000104478 0.0000831964 0.000505215 0.000376604 0.000218514 -0.000251682 0.0000102072 0.000711678 0.000450241 0.000411783 0.000439768 -0.0000315483 -0.000191721 0.000705255 0.00119411 0.00176857 0.00292289 0.00442185 0.00687156 0.0103489 0.0133775 0.0138547 0.0126578 0.0102614 0.00753836 0.00574516 0.00473943 0.00378875 0.00329531 0.00379864 0.00493157 0.00638267 0.00833258 0.0109240 0.0135136 0.0168091 0.0211705 0.0261025 0.0314893 0.0370441 0.0421815 0.0469634 0.0515420 0.0558461 0.0596390 0.0626484 0.0648461 0.0665032 0.0672815 0.0672202 0.0664771 0.0650553 0.0628367 0.0600485 0.0573193 0.0544311 0.0512733 0.0477934 0.0447900 0.0416446 0.0383992 0.0355299 0.0333585 0.0308807 0.0285559 0.0256794 0.0228062 0.0194003 0.0165227 0.0135869 0.0108286 0.00843627 0.00630171 0.00566784 0.00493314 0.00394321 0.00344092 0.00315468 0.00298432 0.00281223 0.00243118 0.00213949 0.00188995 0.00215129 0.00236542 0.00143606 0.00121645 0.00177350 0.000983487 0.000558046 0.00135871 0.00223721 0.00269986 0.00185651 0.000509559 -0.0000945837 0.000561140 0.00117132 0.000546264 0.00167453 0.00203172 0.00205187 0.00230526 0.00176234 0.000464692 0.00183079 0.00100064 
4 43.52941 0.00000 0.00000 5.155760 2.712990 0.584283 0.00256984 0.00168835 0.000550282 0.000139310 0.000181624 0.000227390 0.0000609443 0.0000266542 -0.000136845 0.000400817 0.000389591 0.000324783 0.000676749 0.000447746 0.000302930 0.00112399 0.00151646 0.00235332 0.00417253 0.00682459 0.0107837 0.0156438 0.0194521 0.0199235 0.0174805 0.0132091 0.00954155 0.00723912 0.00537829 0.00387786 0.00285474 0.00238145 0.00229703 0.00205692 0.00208158 0.00233645 0.00235436 0.00243832 0.00268765 0.00308511 0.00362784 0.00403377 0.00453417 0.00454535 0.00426991 0.00458993 0.00487719 0.00522706 0.00528141 0.00507029 0.00463803 0.00450798 0.00438035 0.00378869 0.00332854 0.00321758 0.00307037 0.00312562 0.00337604 0.00333574 0.00438142 0.00677563 0.0112752 0.0191788 0.0313658 0.0463216 0.0630845 0.0811632 0.100036 0.117998 0.132856 0.142694 0.150275 0.155890 0.159558 0.161276 0.161100 0.160363 0.158716 0.156512 0.152789 0.147297 0.140184 0.133512 0.127664 0.120746 0.113692 0.106357 0.0989671 0.0916950 0.0841422 0.0772166 0.0717636 0.0669005 0.0618904 0.0555127 0.0493835 0.0445709 0.0412352 0.0381814 0.0348776 0.0316170 0.0275189 0.0247491 0.0213035 0.0181380 0.0156525 0.0155067 0.0140856 
5 72.94118 0.00000 0.00000 17.03877 8.769325 1.041565 0.00284883 0.00175545 0.00103001 0.00121224 0.000873869 0.0000381487 -0.000161572 0.000205092 0.000471912 0.000658012 0.000446569 0.000562952 0.000783549 0.000709430 0.00103834 0.00217124 0.00327834 0.00514172 0.00795280 0.0127330 0.0201375 0.0284815 0.0345035 0.0348198 0.0299916 0.0225968 0.0163245 0.0117944 0.00898595 0.00678716 0.00526074 0.00493856 0.00468297 0.00423053 0.00415773 0.00454831 0.00468390 0.00470684 0.00507053 0.00548185 0.00601466 0.00628292 0.00672789 0.00724044 0.00730904 0.00774077 0.00820051 0.00851037 0.00860643 0.00844615 0.00788774 0.00718018 0.00648554 0.00587722 0.00505067 0.00462193 0.00487467 0.00516647 0.00582156 0.00685503 0.0104943 0.0188723 0.0344828 0.0601792 0.0995651 0.150966 0.209487 0.270991 0.334539 0.396280 0.446649 0.480935 0.506108 0.525731 0.537310 0.540982 0.540865 0.539206 0.534133 0.525898 0.514436 0.497464 0.474718 0.450971 0.429545 0.408286 0.384798 0.359349 0.334556 0.310550 0.286585 0.263877 0.243620 0.224086 0.206501 0.188638 0.170005 0.152904 0.138938 0.126451 0.114703 0.104784 0.0943749 0.0825497 0.0737221 0.0654823 0.0575623 0.0525690 0.0470851 
6 77.25490 0.00000 0.00000 19.57356 10.05932 1.131297 0.00252366 0.00129333 0.000969712 0.00114339 0.000714241 0.000361476 0.000562382 0.000568506 0.000393564 0.000914547 0.00102331 0.00123654 0.00116121 0.000928266 0.00107042 0.00210463 0.00328693 0.00538811 0.00867224 0.0137552 0.0216327 0.0308604 0.0377947 0.0379581 0.0324152 0.0243210 0.0174766 0.0128525 0.00997221 0.00790662 0.00619242 0.00538001 0.00493841 0.00456899 0.00445117 0.00462383 0.00475647 0.00490788 0.00535517 0.00604552 0.00680730 0.00710011 0.00708405 0.00722705 0.00758736 0.00823064 0.00895443 0.00937818 0.00944886 0.00899090 0.00803250 0.00721495 0.00661138 0.00599332 0.00535051 0.00504859 0.00521914 0.00547825 0.00648162 0.00783346 0.0118128 0.0215285 0.0393031 0.0696863 0.114923 0.173840 0.240926 0.311524 0.384870 0.455702 0.512761 0.552233 0.581519 0.604614 0.618475 0.622102 0.621605 0.620323 0.615109 0.604826 0.591203 0.571716 0.545363 0.518251 0.494008 0.470225 0.442804 0.413261 0.384725 0.357469 0.329561 0.302656 0.279402 0.258611 0.238088 0.216615 0.195294 0.174942 0.159172 0.146101 0.133148 0.120335 0.107213 0.0948139 0.0845887 0.0756233 0.0678138 0.0602566 0.0536836 
