Compressed int,Compressed float,Uncompressed R,Uncompressed G,Uncompressed B
122,0.4784314,0.171138077,0.166592999,0.173638935
123,0.4823529,0.1752168,0.16885262,0.178105105
124,0.4862745,0.178141786,0.172276553,0.178681242
125,0.4901961,0.185046849,0.175723034,0.18088174
126,0.4941176,0.187236152,0.179346068,0.185261106
127,0.4980392,0.192806465,0.182425227,0.188386644
128,0.5019608,0.197385893,0.186968964,0.19288474
129,0.5058824,0.198272051,0.190907759,0.196127008
130,0.5098039,0.199549255,0.195516481,0.201106048
131,0.5137255,0.204563221,0.198549445,0.204516478
132,0.5176471,0.20981365,0.19995514,0.205370645
133,0.5215686,0.214481105,0.203997995,0.212016221
134,0.5254902,0.21471315,0.206739944,0.213835401
135,0.5294118,0.219417838,0.209734667,0.218633996
136,0.5333333,0.222454459,0.214202013,0.222154854
137,0.5372549,0.227072713,0.21864257,0.228273915
138,0.5411765,0.231943398,0.22343587,0.232069981
139,0.545098,0.236846886,0.225837307,0.234424431
140,0.5490196,0.2389443,0.231233125,0.237380825
141,0.5529412,0.242158014,0.232302206,0.24163834
142,0.5568627,0.245761088,0.236659496,0.246120811
143,0.5607843,0.251827687,0.240084199,0.251789344
144,0.5647059,0.258228061,0.243733165,0.255378715
145,0.5686275,0.259617219,0.248225875,0.260459349
146,0.572549,0.262862381,0.254685327,0.262566385
147,0.5764706,0.267299946,0.257940047,0.265072326
148,0.5803922,0.27475471,0.26311599,0.269121943
149,0.5843137,0.280099229,0.267378047,0.273752766
150,0.5882353,0.28137759,0.272271026,0.279581315
151,0.5921569,0.286291956,0.275775953,0.283559175
152,0.5960784,0.290032111,0.280573854,0.289138748
153,0.6,0.296750664,0.282188356,0.290088381
154,0.6039216,0.299850834,0.286747573,0.295942819
155,0.6078431,0.305763208,0.29157914,0.298905097
156,0.6117647,0.308465862,0.294399078,0.306113909
157,0.6156863,0.313554909,0.29950417,0.311817055
158,0.6196078,0.317861224,0.303185931,0.315714801
159,0.6235294,0.322914837,0.307954576,0.324134104
160,0.627451,0.328794023,0.313746164,0.326464466
161,0.6313725,0.335244224,0.317654279,0.333336878
162,0.6352941,0.336907211,0.322267628,0.335549301
163,0.6392157,0.342176072,0.330177693,0.341855947
164,0.6431373,0.347961924,0.334433225,0.344859889
165,0.6470588,0.354318422,0.338144807,0.348944481
166,0.6509804,0.359415256,0.343275854,0.356114254
167,0.654902,0.361612932,0.347978799,0.361060003
168,0.6588235,0.365385418,0.352750202,0.367896995
169,0.6627451,0.372400809,0.357060344,0.372648312
170,0.6666667,0.38046446,0.359602081,0.375042859
171,0.6705882,0.381434789,0.365169126,0.378691666
172,0.6745098,0.386555169,0.371254375,0.383084751
173,0.6784314,0.391337532,0.377353772,0.390930685
174,0.6823529,0.399093783,0.380742995,0.39253947
175,0.6862745,0.403135968,0.388323813,0.398759147
176,0.6901961,0.410528664,0.393972462,0.401735001
177,0.6941176,0.412520919,0.399817003,0.406417508
178,0.6980392,0.419303601,0.406619058,0.413793274
179,0.7019608,0.424875077,0.414682833,0.419816712
180,0.7058824,0.429730093,0.416842855,0.423741109
181,0.7098039,0.438182612,0.421134674,0.430319599
182,0.7137255,0.445513054,0.427243561,0.432412403
183,0.7176471,0.449612444,0.434121671,0.438619911
184,0.7215686,0.452462256,0.438430731,0.442956023
185,0.7254902,0.457222152,0.446599974,0.452110436
186,0.7294118,0.475210144,0.452885389,0.456969549
187,0.7333333,0.470859174,0.45553735,0.466350164
188,0.7372549,0.475608509,0.460991853,0.468513272
189,0.7411765,0.482821798,0.4681469,0.477106902
190,0.745098,0.485126882,0.472904514,0.480113054
191,0.7490196,0.489364609,0.479629722,0.489826888
192,0.7529412,0.498315728,0.486504146,0.50100884
193,0.7568627,0.50662849,0.492595474,0.50622049
194,0.7607843,0.51661699,0.49938403,0.515692853
195,0.7647059,0.52335188,0.50675679,0.524554894
196,0.7686275,0.525959727,0.512335861,0.526227
197,0.772549,0.544195117,0.521050591,0.529465037
198,0.7764706,0.542304449,0.529046184,0.536600942
199,0.7803922,0.549369911,0.535063706,0.544214166
200,0.7843137,0.553280774,0.540870848,0.552390883
201,0.7882353,0.560751827,0.547578347,0.560982887
202,0.7921569,0.570726813,0.555645986,0.564641774
203,0.7960784,0.580933631,0.560457359,0.569357386
204,0.8,0.582895462,0.567869531,0.576207246
205,0.8039216,0.586644076,0.574846005,0.584289171
206,0.8078431,0.597379264,0.581425965,0.592580066
207,0.8117647,0.605969216,0.58976412,0.599908427
208,0.8156863,0.608502486,0.597214314,0.603188838
209,0.8196078,0.613259823,0.599136642,0.611079646
210,0.8235294,0.622208033,0.605875829,0.6193461
211,0.827451,0.631824318,0.613024597,0.626038977
212,0.8313725,0.639857785,0.620388711,0.634120198
213,0.8352941,0.642553767,0.628600362,0.641981023
214,0.8392157,0.64841535,0.633307426,0.649774368
215,0.8431373,0.657209593,0.642838247,0.657301192
216,0.8470588,0.665495121,0.650177434,0.665609654
217,0.8509804,0.673900623,0.658095981,0.67703419
218,0.854902,0.677388691,0.664172555,0.677829522
219,0.8588235,0.68808702,0.671131892,0.686929187
220,0.8627451,0.695992034,0.678698686,0.695799748
221,0.8666667,0.703728648,0.684508991,0.701028334
222,0.8705882,0.713019658,0.693502267,0.708283041
223,0.8745098,0.723606697,0.700529808,0.715718358
224,0.8784314,0.725345964,0.708109006,0.726151815
225,0.8823529,0.73001571,0.713530566,0.732564743
226,0.8862745,0.741059372,0.722110787,0.745128105
227,0.8901961,0.750606682,0.73668225,0.75504598
228,0.8941176,0.761649295,0.744673313,0.760833356
229,0.8980392,0.767692046,0.751663199,0.771067363
230,0.9019608,0.771878051,0.757781588,0.773115546
231,0.9058824,0.778751335,0.766558893,0.783503108
232,0.9098039,0.789134937,0.77439242,0.790068105
233,0.9137255,0.796493016,0.783205028,0.798409882
234,0.9176471,0.806614987,0.788267794,0.807704348
235,0.9215686,0.816218377,0.800685248,0.813465753
236,0.9254902,0.826175676,0.808237674,0.822209975
237,0.9294118,0.830202331,0.820838012,0.829474624
238,0.9333333,0.84009611,0.829756149,0.838347678
239,0.9372549,0.846162489,0.839775462,0.849271027
240,0.9411765,0.856091971,0.8459216,0.855899661
241,0.945098,0.865306136,0.855472813,0.865473719
242,0.9490196,0.874687241,0.867605585,0.87579229
243,0.9529412,0.885517061,0.878432082,0.885387264
244,0.9568627,0.894214955,0.890209599,0.893266063
245,0.9607843,0.904114177,0.898837775,0.890628426
246,0.9647059,0.907459963,0.913598871,0.912156579
247,0.9686275,0.931178354,0.931308225,0.922682427
248,0.972549,0.937944536,0.938190563,0.929501442
249,0.9764706,0.932535504,0.95995391,0.939111728
250,0.9803922,0.94242811,0.965044804,0.949132671
251,0.9843137,0.954615595,0.979674182,0.956024528
252,0.9882353,0.962951115,0.992148211,0.9703018
253,0.9921569,0.973132048,0.979869813,0.978847391
254,0.9960784,0.987259287,0.978599952,0.985505556
255,1,0.990246569,0.979671813,0.995307625
